datetime,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,EE,sss
22.12.2023 09:00,0.4,730.4,744.1,-0.6,84,Wind blowing from the south-southeast,2,,,100%., ,,,0.4,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,Altocumulus translucidus at a single level.,,18,-2.1,No precipitation,12,,,Even layer of compact or wet snow covering ground completely.,22
22.12.2023 06:00,0.8,731,744.7,-0.6,84,Wind blowing from the south-southeast,1,,,100%., ,,,0.5,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,,20,-1.7,No precipitation,12,,,,
22.12.2023 03:00,1.2,731.6,745.3,-0.6,84,Wind blowing from the south,1,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20,-1.2,,,,,,
22.12.2023 00:00,1.5,732.2,745.9,-0.2,86,Wind blowing from the south-west,1,,,100%., ,,,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,20,-0.6,,,,,,
21.12.2023 21:00,1.6,732.4,746.2,-0.2,85,Wind blowing from the south,1,,,100%., ,,,,1.7,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,20,-0.6,0.3,12,,,,
21.12.2023 18:00,1.5,732.6,746.3,-0.7,87,Wind blowing from the south,1,,,100%., ,,,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,20,-0.4,1,12,,,,
21.12.2023 15:00,1.1,733.3,747,0.3,88,Wind blowing from the south,1,,,100%.,State of sky on the whole unchanged. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,20,-0.7,,,,,,
21.12.2023 12:00,1.3,733,746.8,0.9,92,Wind blowing from the south,1,,,100%.,"Snow shower(s), slight. ",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",100%.,200-300,,,19,0.2,,,,,,
21.12.2023 09:00,0.7,732.1,745.8,-0.2,96,"Calm, no wind",0,,,100%.,"Shower(s) of snow, or of rain and snow. ",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,0.2,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,18,0.1,7,12,,,Even layer of compact or wet snow covering ground completely.,24
21.12.2023 06:00,0.2,732.3,746.1,-2.2,96,"Calm, no wind",0,,,100%.,"Snow shower(s), moderate or heavy.  Diameter of wet-snow deposit is 20 mm.",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,0.2,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",100%.,100-200,,,1.8,-0.3,6,12,,,,
21.12.2023 03:00,1.7,734.5,748.2,-1.9,94,Wind blowing from the south-east,1,,,100%.,"Rain shower(s), slight. ",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",100%.,200-300,,,6,0.8,,,,,,
21.12.2023 00:00,1.5,736.4,750.2,-0.4,87,"Calm, no wind",0,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,600-1000,,,20,-0.4,,,,,,
20.12.2023 21:00,2.4,736.8,750.6,0.6,84,Wind blowing from the west-southwest,1,,,70 – 80%.,State of sky on the whole unchanged. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,4.1,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,0,0.7,12,,,,
20.12.2023 18:00,3,736.2,749.9,0.8,93,Wind blowing from the west,1,,,100%.,Shower(s) of rain. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,20,1.9,1,12,,,,
20.12.2023 15:00,4,735.4,749,0,85,Wind blowing from the west-southwest,1,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,1.6,,,,,,
20.12.2023 12:00,4,735.4,749.1,0.3,83,Wind blowing from the west-southwest,1,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,1.4,,,,,,
20.12.2023 09:00,3.1,735.1,748.7,0.3,91,Wind blowing from the west,1,,,100%.,State of sky on the whole unchanged. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,2.7,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,600-1000,,,20,1.7,0.8,12,,,Even layer of compact or wet snow covering ground completely.,24
20.12.2023 06:00,3.1,734.8,748.4,-0.3,90,Wind blowing from the west-southwest,1,,,"90  or more, but not 100%", ,,,2.9,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,1.6,0.9,12,,,,
20.12.2023 03:00,3.1,735.1,748.8,0.4,91,Wind blowing from the south-west,1,,,70 – 80%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,1.7,,,,,,
20.12.2023 00:00,3.8,734.7,748.3,0.2,95,Wind blowing from the west-southwest,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,200-300,Altostratus opacus or Nimbostratus.,,15,3.1,,,,,,
19.12.2023 21:00,3.6,734.5,748.2,-0.5,93,Wind blowing from the west-southwest,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,3.6,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,200-300,Altostratus opacus or Nimbostratus.,,10,2.6,2,12,,,,
19.12.2023 18:00,3.1,735,748.6,-2,92,Wind blowing from the south-west,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,Altostratus opacus or Nimbostratus.,,12,1.9,2,12,,,,
19.12.2023 15:00,2,737,750.8,-3.7,91,Wind blowing from the south,1,,,100%.,"Rain, not freezing, intermittent, slight at time of observation. ",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,Altostratus opacus or Nimbostratus.,,11,0.7,,,,,,
19.12.2023 12:00,1.9,740.7,754.5,-1.9,93,Wind blowing from the south,1,,,100%., ,,,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,200-300,,,16,0.8,,,,,,
19.12.2023 09:00,1.7,742.6,756.5,-1.3,89,Wind blowing from the south-southwest,1,,,100%.,State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,1.6,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,200-300,,,20,0,0.1,12,,,Even layer of compact or wet snow covering ground completely.,31
19.12.2023 06:00,2,743.9,757.9,-0.3,95,Wind blowing from the west-southwest,1,,,100%.,Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,1.8,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,200-300,,,6,1.2,No precipitation,12,,,,
19.12.2023 03:00,2.3,744.2,758.2,0.5,91,Wind blowing from the west-southwest,2,,,100%., ,,,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,17,1,,,,,,
19.12.2023 00:00,2.1,743.7,757.6,0.5,93,Wind blowing from the west-southwest,1,,,100%., ,,,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,200-300,,,20,1,,,,,,
18.12.2023 21:00,2.2,743.2,757.1,0.3,85,Wind blowing from the west,1,,,100%., ,,,,2.3,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,20,-0.1,No precipitation,12,,,,
18.12.2023 18:00,2.1,742.9,756.7,0.4,84,Wind blowing from the west-northwest,1,,,100%., ,,,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,20,-0.4,No precipitation,12,,,,
18.12.2023 15:00,1.5,742.5,756.4,-0.1,91,Wind blowing from the west-southwest,1,,,100%., ,,,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,200-300,,,15,0.2,,,,,,
18.12.2023 12:00,0.9,742.6,756.6,-0.2,87,Wind blowing from the west-southwest,1,,,100%., ,,,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,200-300,,,20,-1.1,,,,,,
18.12.2023 09:00,-1.1,742.8,756.8,0.2,90,Wind blowing from the west,1,,,100%., ,,,-2.2,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,200-300,,,20,-2.5,No precipitation,12,,,Even layer of compact or wet snow covering ground completely.,35
18.12.2023 06:00,-1.5,742.6,756.6,-0.6,86,Wind blowing from the west,1,,,40%., ,,,-1.5,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,-3.5,No precipitation,12,,,,
18.12.2023 03:00,0.4,743.2,757.3,0.3,82,Wind blowing from the west,1,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,300-600,,,20,-2.4,,,,,,
18.12.2023 00:00,0.4,742.9,756.9,0.4,81,Wind blowing from the west,2,,,100%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,300-600,,,20,-2.6,,,,,,
17.12.2023 21:00,1.5,742.5,756.4,0.9,77,Wind blowing from the west,2,,,"90  or more, but not 100%", ,,,,2,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,-2.2,4,12,,,,
17.12.2023 18:00,1.3,741.6,755.5,1.7,81,Wind blowing from the west-northwest,2,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20,-1.6,4,12,,,,
17.12.2023 15:00,1,739.9,753.7,-0.5,94,Wind blowing from the west,2,,,"90  or more, but not 100%","Shower(s) of snow, or of rain and snow. ",Rain and snow or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.","90  or more, but not 100%",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",17,0.2,,,,,,
17.12.2023 12:00,-2,740.4,754.4,-3.4,96,Wind blowing from the south-southwest,1,,,100%.,"Continuous fall of snowflakes, heavy at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,Altostratus opacus or Nimbostratus.,,1.3,-2.6,,,,,,
17.12.2023 09:00,-2.9,743.8,758,-3.7,87,Wind blowing from the south,2,,,100%., ,,,-4.1,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,20,-4.8,Trace of precipitation,12,,,Even layer of loose dry snow covering ground completely.,38
17.12.2023 06:00,-3.3,747.5,761.8,-2.5,83,Wind blowing from the south-southwest,1,,,100%., ,,,-4.1,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,20,-5.8,Trace of precipitation,12,,,,
17.12.2023 03:00,-3.3,750,764.3,-1.5,89,Wind blowing from the south-west,1,,,100%.,State of sky on the whole unchanged. ,Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,20,-4.9,,,,,,
17.12.2023 00:00,-4,751.5,765.9,-0.4,88,Wind blowing from the west-southwest,1,,,100%.,"Intermittent fall of snowflakes, slight at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,1000-1500,,,11,-5.7,,,,,,
16.12.2023 21:00,-3.4,751.9,766.2,0,84,Wind blowing from the west,1,,,100%.,State of sky on the whole unchanged. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,-3.2,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,600-1000,,,20,-5.8,0.3,12,,,,
16.12.2023 18:00,-3.5,751.9,766.2,0.5,85,Wind blowing from the west,1,,,100%.,"Shower(s) of snow, or of rain and snow. ",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,300-600,,,14,-5.7,0.3,12,,,,
16.12.2023 15:00,-4,751.4,765.8,0.1,86,Wind blowing from the west,1,,,100%.,"Snow shower(s), slight. ",Shower(s).,Snow and/or other types of solid precipitation,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",100%.,300-600,,,8,-6,,,,,,
16.12.2023 12:00,-5.7,751.3,765.8,0.3,86,Wind blowing from the west,1,,,100%.,"Intermittent fall of snowflakes, slight at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,4.2,-7.7,,,,,,
16.12.2023 09:00,-8.2,751,765.6,0.9,90,Wind blowing from the west-southwest,1,,,100%.,State of sky on the whole unchanged. ,Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,-12.1,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",70 – 80%.,300-600,Altostratus opacus or Nimbostratus.,,13,-9.6,Trace of precipitation,12,,,Even layer of loose dry snow covering ground completely.,39
16.12.2023 06:00,-9.6,750.1,764.8,1,84,Wind blowing from the west-northwest,1,,,100%.,"Intermittent fall of snowflakes, slight at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,-12.1,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",70 – 80%.,300-600,Altostratus opacus or Nimbostratus.,,8,-11.9,Trace of precipitation,12,,,,
16.12.2023 03:00,-11.2,749.1,763.9,0.9,85,Wind blowing from the west,1,,,100%.,"Intermittent fall of snowflakes, slight at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,Altostratus opacus or Nimbostratus.,,7,-13.2,,,,,,
16.12.2023 00:00,-11.5,748.2,763,1.1,85,"Calm, no wind",0,,,70 – 80%.,Snow not falling as shower(s). ,Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15,-13.5,,,,,,
15.12.2023 21:00,-9,747.1,761.7,1.2,78,Wind blowing from the west-northwest,1,,,100%.,"Intermittent fall of snowflakes, slight at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,-6.6,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,14,-12.1,1,12,,,,
15.12.2023 18:00,-7.3,745.9,760.4,1.5,84,Wind blowing from the west-southwest,1,,,100%.,State of sky on the whole unchanged. ,Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,14,-9.5,3,12,,,,
15.12.2023 15:00,-6.9,744.4,758.8,0.3,89,"Calm, no wind",0,,,100%.,"Continuous fall of snowflakes, slight at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,Altostratus opacus or Nimbostratus.,,9,-8.4,,,,,,
15.12.2023 12:00,-7.7,744.1,758.6,-0.2,88,Wind blowing from the east-southeast,1,,,100%.,"Continuous fall of snowflakes, moderate at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,Altostratus opacus or Nimbostratus.,,3.6,-9.3,,,,,,
15.12.2023 09:00,-8.3,744.3,758.8,-0.8,88,Wind blowing from the east-southeast,2,,,100%.,"Continuous fall of snowflakes, moderate at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,-10.1,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,Altostratus opacus or Nimbostratus.,,2.1,-9.9,12,12,,,Even layer of loose dry snow covering ground completely.,38
15.12.2023 06:00,-8.3,745.1,759.6,-1.6,90,Wind blowing from the south-east,2,,,100%.,"Continuous fall of snowflakes, moderate at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,-10.1,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,Altostratus opacus or Nimbostratus.,,2.8,-9.7,11,12,,,,
15.12.2023 03:00,-8.3,746.7,761.2,-2.3,91,Wind blowing from the east-southeast,1,,,100%.,"Continuous fall of snowflakes, heavy at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,Altostratus opacus or Nimbostratus.,,0.6,-9.5,,,,,,
15.12.2023 00:00,-9.4,749,763.7,-2.3,89,Wind blowing from the east,2,,,100%.,"Continuous fall of snowflakes, heavy at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",100%.,"2500 or more, or no clouds.",Altostratus opacus or Nimbostratus.,,0.9,-10.9,,,,,,
14.12.2023 21:00,-10.1,751.3,766,-1.8,84,Wind blowing from the east-southeast,2,,,100%.,"Continuous fall of snowflakes, moderate at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,-10,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",100%.,"2500 or more, or no clouds.",Altostratus opacus or Nimbostratus.,,2.3,-12.3,0.6,12,,,,
14.12.2023 18:00,-10.1,753.1,767.8,-0.3,81,Wind blowing from the east-southeast,2,,,100%.,"Intermittent fall of snowflakes, slight at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,Altostratus opacus or Nimbostratus.,,4.3,-12.8,0.3,12,,,,
14.12.2023 15:00,-10,753.4,768.1,-0.4,77,Wind blowing from the east-southeast,2,,,100%.,Snow not falling as shower(s). ,Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",100%.,300-600,,,13,-13.3,,,,,,
14.12.2023 12:00,-10.5,753.8,768.7,0.3,81,Wind blowing from the south-east,2,,,100%.,"Continuous fall of snowflakes, slight at time of observation. ",Snow and/or other types of solid precipitation,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,300-600,,,5,-13.1,,,,,,
